pid,label,label_en,label_es,genre,claimed_genre_en,claimed_genre_es,link,access,status,language,creators,stewards,blurb_orig,blurb_en,blurb_es,related_to,sub_collections,open_data,added_by,twitter,census_year,notes,order,layout,collection,thumbnail,full
col2010,Academia Historia Dominicana: Revista Clío,Dominican Academy of History: Clio Journal,,Thematic Curations,publicaciones,publicaciones,https://www.academiadominicanahistoria.org.do/?page_id=53,open,Active,es,Dr. Federico Henríquez y Carvajal,,"Organ of the Dominican Academy of History, created by Decree No. 186 of July 23, 1931 with the primary objective of knowing and studying the past in general, and mainly that of the Dominican nation.","Organ of the Dominican Academy of History, created by Decree No. 186 of July 23, 1931 with the primary objective of knowing and studying the past in general, and mainly that of the Dominican nation.","Organo de la Academia Dominicana de Historia fue, creada por el Decreto No. 186 del 23 de julio de 1931 con el objetivo principal de conocer y estudiar el pasado en general, y principalmente el de la nación dominicana.",,,,,,2020,,010,caridischo_item,curations,/img/derivatives/simple/col2010/thumbnail.jpg,/img/derivatives/simple/col2010/fullwidth.jpg
col2011,Archivo Mesoamericano,Meso-American Archive,,Thematic Curations,an archive,un archivo,https://archivomesoamericano.org/,open,Active,"es,en",,"Digital Collection Services, Indiana University","El Archivo Mesoamericano representa un archivo digital que consiste de grabaciones históricas y etnográficas, montado en colaboración con estas instituciones respectivas: el Centro de Investigaciones y Estudios Superiores en Antropología Social (CIESAS, México), el Instituto de Historia de Nicaragua y Centroamérica (IHNCA, Nicaragua), y el Museo de la Palabra y la Imagen (MUPI, El Salvador). / Archivo Mesoamericano is a digital archive of annotated historical and ethnographic video materials created in collaboration with the Center for Research and Advanced Studies in Social Anthropology (CIESAS) in Mexico, the Institute of History of Nicaragua and Central America (IHNCA) in Nicaragua, and the Museum of the Word and the Image (MUPI) in El Salvador.","The Mesoamerican archive represents a digital archive consisting of historical and ethnographic recordings, assembled in collaboration with these respective institutions: the Social Anthropology Research and Research Center (CIESAS, Mexico), the Institute of History of Nicaragua and Central America (IHNCA, Nicaragua), and the Museum of the Word and the image (Mupi, El Salvador). / Mesoamerican File IS A Digital Archive of Annotated Historical and Ethnographic Video Materials Created in Collaboration With The Center For Research and Advanced Studies in Social Anthropology (CIESAS) IN MEXICO, The Institute of History of Nicaragua and Central America (IHNCA) in Nicaragua, and The Museum of the Word and The Image (MUPI) in El Salvador.","El Archivo Mesoamericano representa un archivo digital que consiste de grabaciones históricas y etnográficas, montado en colaboración con estas instituciones respectivas: el Centro de Investigaciones y Estudios Superiores en Antropología Social (CIESAS, México), el Instituto de Historia de Nicaragua y Centroamérica (IHNCA, Nicaragua), y el Museo de la Palabra y la Imagen (MUPI, El Salvador). / Archivo Mesoamericano is a digital archive of annotated historical and ethnographic video materials created in collaboration with the Center for Research and Advanced Studies in Social Anthropology (CIESAS) in Mexico, the Institute of History of Nicaragua and Central America (IHNCA) in Nicaragua, and the Museum of the Word and the Image (MUPI) in El Salvador.",,,,Mary Borgo Ton,@maryeborgo,2020,,011,caridischo_item,curations,/img/derivatives/simple/col2011/thumbnail.jpg,/img/derivatives/simple/col2011/fullwidth.jpg
col2012,The Barbadian,,El Barbadense,Thematic Curations,a digitization,una digitalización,https://eap.bl.uk/project/EAP1251,open,Active,en,"Amalia S. Levi, et al",Endangered Archives Programme,Digitized historical newspaper &quot; The Barbadian&quot;  (1822-1863).,Digitized historical newspaper &quot; The Barbadian&quot;  (1822-1863).,Periódico histórico digitalizado & quot; El barbadiano & quot; (1822-1863).,,,,Amalia S. Levi,@amaliasl,2020,,012,caridischo_item,curations,/img/derivatives/simple/col2012/thumbnail.jpg,/img/derivatives/simple/col2012/fullwidth.jpg
col2013,Barbados Ephemera Collection,,Colección de efímeras de Barbados,Thematic Curations,digitized ephemera,efímera digitalizada,https://meap.library.ucla.edu/ephemera-barbados,open,In Development,en,"Amalia S. Levi, Modern Endangered Archives Program",Modern Endangered Archives Program,Digitized ephemera material from the Barbados Archives.,Digitized ephemera material from the Barbados Archives.,Material digitalizado de efímeras de los archivos Barbados.,,,,Amalia S. Levi,@amaliasl,2020,,013,caridischo_item,curations,/img/derivatives/simple/col2013/thumbnail.jpg,/img/derivatives/simple/col2013/fullwidth.jpg
col2014,Caribbean Literature,,Literatura del Caribe,Thematic Curations,a collection,una colección,https://alexanderstreet.com/products/caribbean-literature,vendor,Active,en,,Alexander Street Press,"The literature of the Caribbean is exceptional, both in language and subject. More than a million and a half Africans, along with many Indians and South Asians, were brought to the Caribbean between the 15th and 19th centuries. Today, their descendants are active in literature and the arts, producing literature with strong and direct ties to traditional African expressions. This literary connection, combined with the tales of survival, exile, resistance, endurance, and emigration to other parts of the Americas, makes for a body of work that is essential for the study of the Caribbean and the Black Diaspora—and indeed central for our understanding of the New World.","The literature of the Caribbean is exceptional, both in language and subject. More than a million and a half Africans, along with many Indians and South Asians, were brought to the Caribbean between the 15th and 19th centuries. Today, their descendants are active in literature and the arts, producing literature with strong and direct ties to traditional African expressions. This literary connection, combined with the tales of survival, exile, resistance, endurance, and emigration to other parts of the Americas, makes for a body of work that is essential for the study of the Caribbean and the Black Diaspora—and indeed central for our understanding of the New World.","La literatura del Caribe es excepcional, tanto en lenguaje como en sujeto. Más de un millón y medio de africanos, junto a muchos indios y asiáticos del sur, fueron llevados al Caribe entre los siglos XV y XIX. Hoy, sus descendientes se mantienen activos en la literatura y las artes, produciendo literatura con vínculos fuertes y directos a expresiones africanas tradicionales. Esta conexión literaria, combinada con los cuentos de supervivencia, exilio, resistencia, resistencia y emigración a otras partes de las Américas, hace que un cuerpo de trabajo sea esencial para el estudio del Caribe y la diáspora negra, y, de hecho, centrales para nuestra comprensión del Nuevo Mundo.",,,,Alex Gil,@elotroalex,2020,,014,caridischo_item,curations,/img/derivatives/simple/col2014/thumbnail.jpg,/img/derivatives/simple/col2014/fullwidth.jpg
col2015,Digital Library of the Caribbean,,Biblioteca digital del Caribe,Digital Libraries,a digital library,una biblioteca digital,https://www.dloc.com/,open,Active,"en,fr,es,nl,ht","University of Florida, Florida International University","University of Florida, Florida International University",The Digital Library of the Caribbean (dLOC) is a cooperative digital library for resources from and about the Caribbean and circum-Caribbean.,The Digital Library of the Caribbean (dLOC) is a cooperative digital library for resources from and about the Caribbean and circum-Caribbean.,La Biblioteca Digital del Caribe (DLOC) es una biblioteca digital cooperativa con recursos sobre el Caribe y el Circum-Caribe.,,,,Alex Gil,@elotroalex,2020,,015,caridischo_item,curations,/img/derivatives/simple/col2015/thumbnail.jpg,/img/derivatives/simple/col2015/fullwidth.jpg
col2016,CUNY Dominican Institute Publications ,,Publicaciones del Instituto Dominicano de CUNY,Thematic Curations,publications,publicaciones,https://academicworks.cuny.edu/dsi_pubs/,open,Stable,en,,CUNY Dominican Studies Institute,"CUNY Academic Works is a service of the CUNY Libraries dedicated to collecting and providing access to the research, scholarship, and creative and pedagogical work of the City University of New York. In service to CUNY’s mission as a public university, content in Academic Works is freely available to all.","CUNY Academic Works is a service of the CUNY Libraries dedicated to collecting and providing access to the research, scholarship, and creative and pedagogical work of the City University of New York. In service to CUNY’s mission as a public university, content in Academic Works is freely available to all.","CUNY Academic Works es un servicio de las bibliotecas de CUNY dedicadas a recopilar y brindar acceso a la investigación, estudio y trabajo creativo y pedagógico de la Universidad de la Ciudad de Nueva York. En servicio a la misión de CUNY como universidad pública, el contenido de las obras académicas está disponible gratuitamente para todos.",,,,,,2020,,016,caridischo_item,curations,/img/derivatives/simple/col2016/thumbnail.jpg,/img/derivatives/simple/col2016/fullwidth.jpg
col2017,Caribbean Memory Project,,Proyecto de memoria del Caribe,Thematic Curations,a collection of archives,una colección de archivos,https://www.caribbeanmemoryproject.com/,open,Active,en,"Kevin Adonis Browne, Dawn Cumberbatch",,"​The Caribbean Memory Project promotes public awareness and participation in the collection and circulation of everyday archives for cultural, social, and historical research.","​The Caribbean Memory Project promotes public awareness and participation in the collection and circulation of everyday archives for cultural, social, and historical research.","El proyecto de memoria del Caribe promueve la conciencia pública y la participación en la recolección y circulación de los archivos cotidianos para la investigación cultural, social e histórica.",,,,Kaiama L. Glover,@inthewhirld,2020,,017,caridischo_item,curations,/img/derivatives/simple/col2017/thumbnail.jpg,/img/derivatives/simple/col2017/fullwidth.jpg
col2018,Carmelita Tropicana Online Digital Archive,,Carmelita Tropicana Archivo digital en línea,Thematic Curations,a digital archive,un archivo digital,http://tropicanavideoarchive.blogspot.com/,open,In Disrepair,en,"Laura Lomas, et al. ",,An online video archive of performances by Carmelita Tropicana,An online video archive of performances by Carmelita Tropicana,Un archivo de video en línea de actuaciones de Carmelita Tropicana.,,,,Roopika Risam,@roopikarisam,2020,,018,caridischo_item,curations,/img/derivatives/simple/col2018/thumbnail.jpg,/img/derivatives/simple/col2018/fullwidth.jpg
col2019,Centro León: Colecciones de Bienes Culturales,Centro León: Collections of Cultural Property,,Digital Libraries,an eMuseum,un eMuseo,https://colecciones.centroleon.org.do/collections,private,Active,"es,en",María Amalia León de Jorge,,Las Colecciones de bienes culturales del Centro León reunen información correspondiente a la colección de objetos antropológicos y obras de arte catalogados y clasificados por los departamentos de Antropología y Artes Visuales.,"The Eduardo León Jimenes Cultural Center (León Center) is located in the city of Santiago de los Caballeros, Dominican Republic. It was devised by the León Asensio brothers to honor the memory of their parents while giving the country an institution for its educational and cultural development. The digital collection gathers information corresponding to the collection of anthropological objects and works of art cataloged and classified by the departments of Anthropology and Visual Arts.",Las Colecciones de bienes culturales del Centro León reunen información correspondiente a la colección de objetos antropológicos y obras de arte catalogados y clasificados por los departamentos de Antropología y Artes Visuales.,,,,,,2020,,019,caridischo_item,curations,/img/derivatives/simple/col2019/thumbnail.jpg,/img/derivatives/simple/col2019/fullwidth.jpg
col2020,Centro for Puerto Rican Studies: Digital Collection,,Centro para estudios puertorriqueños: Colección digital,Digital Libraries,a digital collection,una colección digital,https://centroca.hunter.cuny.edu/index.php,open,Stable,en,,Hunter College,"Centro is a research institute that is dedicated to the study and interpretation of the Puerto Rican experience in the United States and that produces and disseminates relevant interdisciplinary research. Centro also collects, preserves, and provides access to library resources documenting Puerto Rican history and culture.","Centro is a research institute that is dedicated to the study and interpretation of the Puerto Rican experience in the United States and that produces and disseminates relevant interdisciplinary research. Centro also collects, preserves, and provides access to library resources documenting Puerto Rican history and culture.","El Centro es un instituto de investigación que está dedicado al estudio e interpretación de la experiencia puertorriqueña en los Estados Unidos y que produce y difunde la investigación interdisciplinaria relevante. Centro también recopila, conserva, y proporciona acceso a los recursos de la biblioteca que documenta la historia y la cultura puertorriquenes.",,,,,,2020,,020,caridischo_item,curations,/img/derivatives/simple/col2020/thumbnail.jpg,/img/derivatives/simple/col2020/fullwidth.jpg
col2021,Archivo de Respuestas Emergencias de Puerto Rico (AREPR),Puerto Rico Emergency Responses Archive,,Thematic Curations,an archive,un archivo,http://arepr.org/,open,Active,"en,es",Christina Boyles,DLoC/Michigan State University,"Supported by the Andrew W. Mellon Foundation, the Archivo de Respuestas Emergencias de Puerto Rico (AREPR) is a freely available Omeka S site that depicts and describes the innovative knowledge production of grassroots community organizations in Puerto Rico in the wake of both natural and man-made disasters. The project involves collaboration between the University of Puerto Rico-Río Piedras, the University of Puerto Rico-Mayagüez, Michigan State University, and the Digital Library of the Caribbean.","Supported by the Andrew W. Mellon Foundation, the Archivo de Respuestas Emergencias de Puerto Rico (AREPR) is a freely available Omeka S site that depicts and describes the innovative knowledge production of grassroots community organizations in Puerto Rico in the wake of both natural and man-made disasters. The project involves collaboration between the University of Puerto Rico-Río Piedras, the University of Puerto Rico-Mayagüez, Michigan State University, and the Digital Library of the Caribbean.","Apoyado por la Fundación Andrew W. Mellon, el archivo de respuestas de emergencias de Puerto Rico (ARERPR) es un sitio de Omeka S disponible libremente que representa y describe la innovadora producción de conocimientos de organizaciones comunitarias de base en Puerto Rico a raíz de desastres causados por la naturaleza o el hombre. El proyecto parte de una colaboración entre la Universidad de Puerto Rico-Río Piedras, la Universidad de Puerto Rico-Mayagüez, la Universidad Estatal de Michigan y la Biblioteca Digital del Caribe (dLOC).",cds31,,,Christina Boyles,@clboyles,2020,,021,caridischo_item,curations,/img/derivatives/simple/col2021/thumbnail.jpg,/img/derivatives/simple/col2021/fullwidth.jpg
col2022,Cuban Heritage Connection,,Conexión de la herencia cubana,Digital Libraries,digital collections,colecciones digitales,https://merrick.library.miami.edu/digitalprojects/chc.php,open,Active,"en,es",,University of Miami,"Below are descriptions and links to Cuban Heritage Collection digital collections with digital manuscripts, photographs, letters, maps and other resources held in the University of Miami Libraries Cuban Heritage Collection.","Below are descriptions and links to Cuban Heritage Collection digital collections with digital manuscripts, photographs, letters, maps and other resources held in the University of Miami Libraries Cuban Heritage Collection.","A continuación se presentan descripciones y enlaces a colecciones de herencia cubanas, colecciones digitales con manuscritos digitales, fotografías, letras, mapas y otros recursos celebrados en la Cuban Heritage Collection (Colección legado cubano) de la Universidad de Miami.",,,,Roopika Risam,@roopikarisam,2020,There are approximately infinity subcollections,022,caridischo_item,curations,/img/derivatives/simple/col2022/thumbnail.jpg,/img/derivatives/simple/col2022/fullwidth.jpg
col2023,Claude McKay's Early Poetry (1911-1922): A Digital Collection,,Poesía temprana de Claude McKay (1911-1922): una colección digital,Scholarly Editions,a digital collection,una colección digital,https://scalar.lehigh.edu/mckay/index,open,Stable,en,Amardeep Singh,Scalar,"This site began as a collaborative WordPress project put together by students in Amardeep Singh and Ed Whitley’s Introduction to the Digital Humanities graduate seminar. The site has evolved since fall 2015 and been reworked for the Scalar platform; it now offers digital editions of all of McKay’s early poems, including <em>Songs of Jamaica</em>, <em>Constab Ballads</em>, <em>Spring in New Hampshire</em>, and <em>Harlem Shadows</em>, as well as uncollected poetry published in various Jamaican, British, and American magazines from the 1910s and 20s not included in those volumes.","This site began as a collaborative WordPress project put together by students in Amardeep Singh and Ed Whitley’s Introduction to the Digital Humanities graduate seminar. The site has evolved since fall 2015 and been reworked for the Scalar platform; it now offers digital editions of all of McKay’s early poems, including <em>Songs of Jamaica</em>, <em>Constab Ballads</em>, <em>Spring in New Hampshire</em>, and <em>Harlem Shadows</em>, as well as uncollected poetry published in various Jamaican, British, and American magazines from the 1910s and 20s not included in those volumes.","Este sitio comenzó como un proyecto de WordPress colaborativo organizado por los estudiantes de Amardeep Singh y Ed Whitley en el seminario de posgrado de introducción a las humanidades digitales. El sitio ha evolucionado desde el otoño 2015 y ha sido reelaborado para la plataforma Scalar; Ahora ofrece ediciones digitales de todos los primeros poemas de McKay, incluidas las colecciones de poesía <em>Songs of Jamaica</em> (Canción de Jamaica), <em>Constab Ballads</em> (Baladas de Constab), <em>Spring in New Hampshire</em> (Primavera en New Hampshire), y <em>Harlem Shadows</em> (Sombras de Harlem), así como poemas dispersos publicados en varias revistas jamaicanas, británicas y estadounidenses de los años 20 y 20, no incluido en esos volúmenes.",,,,Alex Gil,@elotroalex,2020,,023,caridischo_item,curations,/img/derivatives/simple/col2023/thumbnail.jpg,/img/derivatives/simple/col2023/fullwidth.jpg
col2024,Digital Archeological Archive of Comparative Slavery,,Archivo arqueológico digital de esclavitud comparativa,Thematic Curations,a digital archeological archive,un archivo arqueológico digital,https://www.daacs.org,open,Active,en,Jillian E. Galle,,"DAACS is a community resource, conceived and maintained in the Department of Archaeology at Monticello, in collaboration with the research institutions and archaeologists working throughout the Atlantic World.","DAACS is a community resource, conceived and maintained in the Department of Archaeology at Monticello, in collaboration with the research institutions and archaeologists working throughout the Atlantic World.","DAACS es un recurso comunitario, concebido y mantenido en el Departamento de Arqueología de Monticello (Virginia, E.E.U.U.), en colaboración con las instituciones de investigación y los arqueólogos que trabajan en todo el mundo del Atlántico.",,,,Kaiama L. Glover,@inthewhirld,2020,,024,caridischo_item,curations,/img/derivatives/simple/col2024/thumbnail.jpg,/img/derivatives/simple/col2024/fullwidth.jpg
col2025,Documents from the History of the Dominican Republic,,Documentos de la historia de la República Dominicana.,Scholarly Editions,a project,un proyecto,https://www.marxists.org/history/dominican-republic/index.htm,open,Active,"en,es",Amaury Rodriguez,Marxists Internet Archive (MIA),"This project preserves Dominican history from below, left-wing revolutionary movements and class struggle via transcribed texts, translations and images.","This project preserves Dominican history from below, left-wing revolutionary movements and class struggle via transcribed texts, translations and images.","Este proyecto preserva la historia dominicana desde abajo, los movimientos revolucionarios de izquierda y la lucha de clases a través de textos, traducciones e imágenes transcritas.",,,,,,2020,,025,caridischo_item,curations,/img/derivatives/simple/col2025/thumbnail.jpg,/img/derivatives/simple/col2025/fullwidth.jpg
