pid,label,label_en,label_es,section,genre,claimed_genre_en,claimed_genre_es,link,access,status,language,creators,stewards,blurb,blurb_en,blurb_es,related_to,sub_collections,open_data,added_by,twitter,census_year,notes,order,layout,collection,thumbnail,full
cds108,Making of Caribbean Feminisms,,Hacer de feminismos caribeños,Cabinet of Wonders,Sui Generis,a project,un proyecto,https://sta.uwi.edu/igds/mcf/,open,Stable,en,Institute for Gender and Development Studies,UWI St. Augustine,"This Making of Caribbean Feminisms project is founded on the belief that the impulse to further feminist theorising and activism needs to be transmitted to a younger generation. One of the outcomes has been the creation of a Special Collection on Caribbean Feminisms which is now housed in the West Indiana and Special Collections section and the UWISpace online archives of The UWI Alma Jordan Library, St. Augustine Campus",,"Esta realización de proyectos de feminismos del Caribe se basa en la creencia de que el impulso de una mayor teorización y activismo feminista debe transmitirse a una generación más joven. Uno de los resultados ha sido la creación de una colección especial en los feminismos del Caribe que ahora se encuentra en la sección West Indiana y colecciones especiales y los archivos UWISpace Online de la Biblioteca Alma Jordan, St. Augustine Campus, UWI.",,,,Alex Gil,@elotroalex,2020,,010,caridischo_item,main,/img/derivatives/simple/cds108/thumbnail.jpg,/img/derivatives/simple/cds108/fullwidth.jpg
cds109,Memoria de la Nación Cubana,Memory of the Cuban Nation,,Collections & Curations,Thematic Curations,an exhibit,una exposición,https://www.memoryofnations.eu/en/memory-cuban-nation-instrument-transformation-cuban-society-real-freedom,open,Stable,"en,pl,cs","Post Bellum, Florida International University",Post Bellum,"En 2017, Post Bellum, en cooperación con la Universidad Internacional de Florida, creó el proyecto &quot;Memoria de la nación cubana: instrumento para la transformación de la sociedad cubana hacia la verdadera libertad&quot; para honrar a los disidentes y activistas cubanos. Este proyecto, financiado por el Ministerio de Asuntos Exteriores de la República Checa a través de la cooperación para el programa de transformación, cumple su propósito de recolectar los testimonios y las experiencias personales de los disidentes que se oponen al régimen totalitario en Cuba.","In 2017, Post Bellum, in cooperation with Florida International University, created the project &quotMemory of the Cuban Nation: instrument for the transformation of Cuban society towards true freedom&quot to honor Cuban dissidents and activists. This project, funded by the Ministry of Foreign Affairs of the Czech Republic through the Cooperation for Transformation Program, fulfills its purpose of collecting the testimonies and personal experiences of dissidents who oppose the totalitarian regime in Cuba.",,,,,Roopika Risam,@roopikarisam,2020,,011,caridischo_item,main,/img/derivatives/simple/cds109/thumbnail.jpg,/img/derivatives/simple/cds109/fullwidth.jpg
cds11,Archives Nationales d'Outre Mer: Archives Numérisées,National Archives of Overseas Territories: Digital Archives,Archivos nacionales en el extranjero: Archivos digitalizados,Collections & Curations,Digital Libraries,digitized archives,archivos digitales,http://anom.archivesnationales.culture.gouv.fr/ir?classification=archives_numerisees,open,Stable,fr,,,"Service à compétence nationale installé à Aix-en-Provence depuis 1966, les Archives nationales d’outre-mer (ANOM) ont pour mission la conservation, la communication et la collecte des archives de l’expansion coloniale française. Héritières de trois siècles d’histoire, elles conservent deux grands ensembles au passé administratif et archivistique différent : d’une part les archives des ministères qui furent chargés du XVIIe au XXe siècle de l’empire colonial français, d’autre part les archives transférées des anciennes colonies et de l’Algérie lors de leur indépendance.","A national service located in Aix-en-Provence since 1966, the National Archives of Overseas (ANOM) is responsible for the conservation, communication and collection of archives of the French colonial expansion. Heir to three centuries of history, they keep two large groups with different administrative and archival pasts: on the one hand the archives of the ministries who were in charge of the French colonial empire from the 17th to the 20th century, and, on the other hand the relocated archives of the former colonies and of Algeria during their independence.","Un servicio nacional ubicado en Aix-en-Provence desde 1966, el Archivo Nacional de Ultramar (ANOM) es responsable de la conservación, comunicación y colección de archivos de la expansión colonial francesa. Herederos de tres siglos de historia, mantienen dos grandes colecciones con diferentes pasados ​​administrativos y archivísticos: por un lado los archivos de los ministerios que estuvieron a cargo del imperio colonial francés desde el siglo XVII al XX, y por otro los archivos reubicados de las antiguas colonias y de Argelia durante su independencia.",,,,,,2020,,012,caridischo_item,main,/img/derivatives/simple/cds11/thumbnail.jpg,/img/derivatives/simple/cds11/fullwidth.jpg
cds110,Proyecto Humboldt Digital,Humboldt Digital Project,,Collections & Curations,Thematic Curations,una iniciativa internacional,,https://habanaberlin.hypotheses.org/,open,In Development,"de,es","Tobias Kraft, et al.","Casa Museo Alejandro de Humboldt (La Habana), Academia de Ciencias y Humanidades Berlín-Brandeburgo ",El Proyecto Humboldt Digital (ProHD) es una iniciativa internacional para la capacitación en las Humanidades Digitales que se ejecuta en dos lugares: La Habana (Casa Museo Alejandro de Humboldt) y Berlín (Academia de Ciencias y Humanidades Berlín-Brandeburgo).,The Humboldt Digital Project (PROHD) is an international initiative for training in digital humanities that runs in two places: Havana (Casa Museo Alejandro de Humboldt) and Berlin (Academy of Sciences and Humanities Berlin-Brandenburg).,,,,,Roopika Risam,@roopikarisam,2020,,013,caridischo_item,main,/img/derivatives/simple/cds110/thumbnail.jpg,/img/derivatives/simple/cds110/fullwidth.jpg
cds111,Obeah Histories,,Historias de Obeah,Collections & Curations,Thematic Curations,an exhibit,una exposición,https://obeahhistories.org/,open,Stable,en,"Diana Paton, et al.",Newcastle University,Researching Prosecution for Religious Practice in the Caribbean,,Investigando la persecución por prácticas religiosas en el Caribe.,,,,Roopika Risam,@roopikarisam,2020,,014,caridischo_item,main,/img/derivatives/simple/cds111/thumbnail.jpg,/img/derivatives/simple/cds111/fullwidth.jpg
cds112,Manioc Blog,,,Periodicals & Blogs,Blogs,a blog,un blog,http://manioc-blog.blogspot.com/,open,Active,fr,,,"Digital library of the Caribbean, Amazonia, Guyana",,"Biblioteca digital del Caribe, Amazonia y Guyana.",,,,,,2020,,015,caridischo_item,main,/img/derivatives/simple/cds112/thumbnail.jpg,/img/derivatives/simple/cds112/fullwidth.jpg
cds113,Nancy Prince: A Transamerican Archive,,Nancy Prince: Un archivo trans-americano,Collections & Curations,Thematic Curations,a transamerican archive,un archivo transamericano,https://nancyprince.omeka.net/,open,In Development,en,,Florida International University Libraries,A multimedia exhibit around the life of Nancy Prince.,,Una exposición multimedia alrededor de la vida de Nancy Prince.,,,,Roopika Risam,@roopikarisam,2020,,016,caridischo_item,main,/img/derivatives/simple/cds113/thumbnail.jpg,/img/derivatives/simple/cds113/fullwidth.jpg
cds114,edition humboldt digital,,Edición Humboldt digital,Collections & Curations,Scholarly Editions,an edition,una edición,https://edition-humboldt.de/,open,Active,"de,en","Ottmar Ette, et al",Berlin-Brandenburg Academy of Sciences and Humanities,"Digital edition of Humboldt's papers, including The American Travel Journals.",,"Edición digital de los papeles de Humboldt, incluidas las revistas de viajes estadounidenses.",,,,,,2020,,017,caridischo_item,main,/img/derivatives/simple/cds114/thumbnail.jpg,/img/derivatives/simple/cds114/fullwidth.jpg
cds115,Plenamar,Full tide,,Periodicals & Blogs,Magazines,an online cultural magazine,una revista cultural en línea,https://plenamar.do/,open,Active,es,"Minerva del Risco,Rafael Emilio Yunén, Fausto Rosario, José Mármol and Jochy Herrera",Acento.com.do,"Published weekly, Plenamar is a Dominican-based online magazine focused on local and international cultural production.",,"Publicado semanalmente, <em>Plenamar</em> es una revista en línea basada en República Dominicana centrada en la producción cultural local e internacional.",,,,,,2020,,018,caridischo_item,main,/img/derivatives/simple/cds115/thumbnail.jpg,/img/derivatives/simple/cds115/fullwidth.jpg
cds116,One More Voice,,Una voz más,Collections & Curations,Thematic Curations,a collection,una colección,https://onemorevoice.org/,open,Active,en,Adrian S. Wisnicki,,One More Voice focuses on recovering non-European contributions from nineteenth-century British imperial and colonial archives.,,&quot;Una voz más&quot; se ocupa en recuperar las contribuciones no-europeas de los archivos imperiales y coloniales británicos del siglo XIX.,,,,Adrian Wisnicki,@AdrianWisnicki,2020,,019,caridischo_item,main,/img/derivatives/simple/cds116/thumbnail.jpg,/img/derivatives/simple/cds116/fullwidth.jpg
cds117,Latino Genealogy & Beyond: diasporic journeys across time and space,,Genealogía latina y más allá: viajes diáspóricos a lo largo del tiempo y el espacio,Periodicals & Blogs,Blogs,blogs,blogs,https://latinogenealogyandbeyond.com,open,Active,en,Ellen Fernandez-Sacco,,"Mabrika! Join me, Ellen Fernandez-Sacco as I research ancestors and discuss genealogy research with a Caribbean focus.",,"¡Mabrika! Únete a mí, Ellen Fernández-Sacco, mientras investigo a los antepasados ​​y discuto la investigación de la genealogía con un enfoque caribeño.",,,,Ellen Fernandez-Sacco,@efsacco,2020,,020,caridischo_item,main,/img/derivatives/simple/cds117/thumbnail.jpg,/img/derivatives/simple/cds117/fullwidth.jpg
cds118,Mapping Slavery,,Mapeo de esclavitud,Maps & Visualizations,Maps,maps,mapas,https://mappingslavery.nl/,open,Stable,nl,,,&quot;Mapping Slavery NL&quot; portrays historical places relating to slavery on the map of the Dutch colonial empire.,,&quot;Cartografía de esclavitud (Paises Bajos)&quot; retrata los lugares históricos relacionados con la esclavitud en el mapa del imperio colonial holandés.,,,,,,2020,,021,caridischo_item,main,/img/derivatives/simple/cds118/thumbnail.jpg,/img/derivatives/simple/cds118/fullwidth.jpg
cds119,sx salon,,salón sx,Periodicals & Blogs,Journals,a journal,un diario,http://smallaxe.net/sxsalon,open,Active,en,Kelly Baker Josephs,Small Axe,"Our digital forum for innovative critical and creative explorations of Caribbean literature, broadly defined. Caribbean creative writing has always wrestled with the idea of an aesthetic form that engages regional and diasporic understandings of our changing realities. As a forum, sx salon aims to stimulate these sensibilities and preoccupations across different literary genres. Initiated in 2010, sx salon appears three times per year (February, June, and October). We publish literary discussions, interviews with writers, reviews of new publications (creative and scholarly), and poetry and prose by Caribbean writers.",,"Nuestro foro digital para exploraciones críticas y creativas innovadoras de la literatura caribeña, ampliamente definida. La escritura creativa del Caribe siempre ha luchado con la idea de una forma estética que involucra a los entendimientos regionales y diáspóricos de nuestras realidades cambiantes. Como foro, sx salon apunta a estimular estas sensibilidades y preocupaciones en diferentes géneros literarios. Iniciado en 2010, sx salon aparece tres veces al año (febrero, junio y octubre). Publicamos discusiones literarias, entrevistas con escritores, revisiones de nuevas publicaciones (creativas y académicas), y poesía y prosa de los escritores del Caribe.",,,,Alex Gil,@elotroalex,2020,,022,caridischo_item,main,/img/derivatives/simple/cds119/thumbnail.jpg,/img/derivatives/simple/cds119/fullwidth.jpg
cds12,Alternative Considerations of Jonestown and Peoples Temple,,Consideraciones alternativas de Jonestown y el Templo del Pueblo,Collections & Curations,Thematic Curations,a digital humanities project; annotated documents,un proyecto de humanidades digitales; documentos anotados,https://jonestown.sdsu.edu/?page_id=70587,open,Active,en,"Fielding M. McGehee, Rebecca Moore",San Diego State University,This website is designed to give personal and scholarly perspectives on a major event in the history of religion in America.,,Este sitio web está diseñado para brindar perspectivas personales y académicas sobre este importante evento en la historia de la religión en América.,,,,Roopika Risam,@roopikarisam,2020,,023,caridischo_item,main,/img/derivatives/simple/cds12/thumbnail.jpg,/img/derivatives/simple/cds12/fullwidth.jpg
cds120,"Memory, Mourning, and Reslience in Grand Bahama",,"Memoria, duelo y resiliencia en Gran Bahama",Collections & Curations,Thematic Curations,an exhibit,una exposición,https://web.archive.org/web/20210127055315/https://culturalmemorybahamas.com/,open,In Disrepair,en,"Sally Everson, et al.",The University of The Bahamas-North,"This project is the work of first-year students of The University of The Bahamas-North, in English Studies courses. These are explorations of Bahamian cultural history and memory, with the aim of documenting significant persons, places, and events on the island of Grand Bahama.",,"Este proyecto es obra de estudiantes de primer año de la Universidad de Las Bahamas-Norte, en cursos de Estudios Ingleses. Estas son exploraciones de la historia y la memoria cultural de las Bahamas, con el objetivo de documentar personas, lugares y eventos importantes en la isla de Gran Bahama.",,,,Roopika Risam,@roopikarisam,2020,,024,caridischo_item,main,/img/derivatives/simple/cds120/thumbnail.jpg,/img/derivatives/simple/cds120/fullwidth.jpg
cds121,Mi María,My Maria,,Cabinet of Wonders,Sui Generis,a mass-listening project,un proyecto de escucha masiva,https://mimariapr.org/,open,In Development,en,Ricia Anne Chansky,UPRM,&quotMi María: Puerto Rico after the Hurricane&quot is a mass-listening project that collects and circulates stories of Puerto Ricans who have survived Hurricane María and are trying to survive its aftermaths amidst innumerable humanitarian concerns and social justice issues.,,"&quotMi María: Puerto Rico después del huracán&quot es un proyecto de escucha en masa que recopila y circula historias de puertorriqueños que han sobrevivido al huracán María, y tratan de sobrevivir a sus consecuencias en medio de innumerables preocupaciones humanitarias y problemas de justicia social.",,,,Roopika Risam,@roopikarisam,2020,,025,caridischo_item,main,/img/derivatives/simple/cds121/thumbnail.jpg,/img/derivatives/simple/cds121/fullwidth.jpg
cds122,Slave Societies Digital Archive,,Archivo digital de sociedades esclavistas,Collections & Curations,Thematic Curations,a digital archive,un archivo digital,https://www.slavesocieties.org,open,Active,en,Jane Landers,,"The Slave Societies Digital Archive (formerly Ecclesiastical and Secular Sources for Slave Societies), directed by Jane Landers and hosted at Vanderbilt University, preserves endangered ecclesiastical and secular documents related to Africans and African-descended peoples in slave societies. SSDA holdings include more than 700,000 digital images drawn from close to 2,000 unique volumes dating from the sixteenth through twentieth centuries that document the lives of an estimated four to six million individuals. This collection contains the most extensive serial records for the history of Africans in the Atlantic World, and also includes valuable information about the indigenous, European, and Asian populations who lived alongside them.",,"El archivo digital de las sociedades esclavas (anteriormente fuentes eclesiásticas y seculares para las sociedades esclavas), dirigidas por Jane Landers y organizadas en la Universidad de Vanderbilt, conserva los documentos eclesiásticos y seculares en peligro de extinción relacionados con los africanos y los pueblos africanos y descendientes en las sociedades de esclavos. Los fondos de SSDA incluyen más de 700,000 imágenes digitales provenientes de alrededor de 2,000 volúmenes únicos que datan de los siglos XVI hasta el presente, y que documentan las vidas de un estimado de cuatro a seis millones de personas. Esta colección contiene los registros en serie más extensos para la historia de los africanos en el mundo del Atlántico, y también incluye información valiosa sobre las poblaciones indígenas, europeas y asiáticas que vivieron junto a ellos.",,,,Kaiama L. Glover,@inthewhirld,2020,,026,caridischo_item,main,/img/derivatives/simple/cds122/thumbnail.jpg,/img/derivatives/simple/cds122/fullwidth.jpg
cds123,Mapping the Haitian Revolution,,Cartografía de la revolución haitiana,Maps & Visualizations,Maps,an interactive map and timeline,un mapa interactivo y una línea de tiempo,https://www.mappinghaitianrevolution.com/,open,Active,en,"Stephanie Curci, Christopher Jones, Axis Maps","Stephanie Curci, Christopher Jones","A map and timeline of the Haitian Revolution, with additional educational resources designed for high school students.",,"Un mapa y cronograma de la revolución haitiana, con recursos educativos adicionales diseñados para estudiantes de secundaria.",cds124,,,Stephanie Curci,"@stephcurci,@theunionmarches",2020,,027,caridischo_item,main,/img/derivatives/simple/cds123/thumbnail.jpg,/img/derivatives/simple/cds123/fullwidth.jpg
cds124,Mapping Haitian History,,Cartografía de historia haitiana,Collections & Curations,Thematic Curations,a historical visual records project,un proyecto histórico de registros visuales,http://www.mappinghaitianhistory.com/,open,Active,"en,fr,ht",Stephanie Curci,Stephanie Curci,"A trilingual Haitian historical records site. Visual preservation of Haïtian historical, natural, and cultural sites. Offering a visual road map to some of Haiti's best features--for research and more. Where possible, links are provided to external documentation (such as ISPAN).",,"Un sitio de registros históricos haitianos trilingüe. Preservación visual de sitios históricos, naturales y culturales de Haití. Ofreciendo una guía visual a algunas de las mejores vistas de Haití---para el servicio de la investigación o demás.",cds123,,,Stephanie Curci,@stephcurci,2020,,028,caridischo_item,main,/img/derivatives/simple/cds124/thumbnail.jpg,/img/derivatives/simple/cds124/fullwidth.jpg
cds125,"RSHHGG Lab: Online Index and Lab for the Revue de la Société Haïtienne d’Histoire, de Géographie et de Géologie",,"Laboratorio RSHHGG: Índice en línea y laboratorio para la revista de la sociedad haitiana de historia, geografía y geología",Reference,Bibliographies,a collection,una colección,http://rshhgglab.com/,open,Stable,"en,fr,ht",,,"Online Index and Lab for the Revue de la Société Haïtienne d’Histoire, de Géographie et de Géologie.",,"Índice en línea y laboratorio para el Revue de la Société Haïtienne d'Histoire, de Géographie et de géologie.",,,,,,2020,,029,caridischo_item,main,/img/derivatives/simple/cds125/thumbnail.jpg,/img/derivatives/simple/cds125/fullwidth.jpg
cds126,Santería Music Database,,Base de datos de música de la santería,Reference,Database,a database,una base de datos,http://furius.ca/santeriadb/,open,Stable,"en,es",Martin Blais,,"Welcome to the Santería music database, a collection of information about afro-cuban folkloric music. The main purpose of this database is to cross-reference the different resources and recordings to the batá drum rhythms (&quot; toques&quot; ) and chants (&quot; cantos&quot; ) of the Santería religion.",,"Bienvenido a la base de datos de música de Santería, una colección de información sobre la música folclórica afrocubana. El objetivo principal de esta base de datos es hacer referencia cruzada los diferentes recursos y grabaciones a los ritmos de batería (& quot;toques&quot;) y cantos (& quot;Cantos&quot;) de la religión de la santería.",,,,,,2020,,030,caridischo_item,main,/img/derivatives/simple/cds126/thumbnail.jpg,/img/derivatives/simple/cds126/fullwidth.jpg
